HeadLines,Summary,Updates,Catagries
Trump to meet Starmer at PM's country house on last day of state visit,Donald Trump's visit moves from royal spectacle to political talks with the UK prime minister.,2 hrs ago,US & Canada
Jimmy Kimmel taken off air over Charlie Kirk comments,"The late-night host said on Monday that Trump's allies were ""doing everything they can to score political points from"" Kirk's death.",,
,,1 hr ago,Australia
Australia announces higher emission cuts by 2035,The country is one of the world's biggest carbon emitters per capita.,6 hrs ago,Latin America
"I have no relationship with Trump, Brazil's President Lula tells BBC","In an exclusive interview, Brazil's president says Trump is ""not emperor of the world"".",,
,,7 hrs ago,Asia
Fury over corruption and 'nepo babies' as floods paralyse Philippines,An unusually fierce monsoon has derailed daily life more than ever in the South East Asian nation.,10 hrs ago,Middle East
Israeli tanks push into major Gaza City residential area,"The sight of tanks in Sheikh Radwan has caused widespread alarm among residents, with thousands fleeing south.",2 hrs ago,Business
Air India crash victims' families sue aerospace firms Boeing and Honeywell,"They accuse the manufacturers of doing ""nothing"" despite being aware of the plane's risks.",5 hrs ago,Asia
Battling a rare brain-eating disease in an Indian state,"In Kerala this year, more than 70 people have been diagnosed and 19 have died from the brain-eating amoeba.",2 hrs ago,US & Canada
Why America is at a dangerous crossroads following the Charlie Kirk shooting,State visits are often seen as an opportunity to exercise “sartorial diplomacy” on the world stage.,18 hrs ago,Technology
Controversial church leader denies bribing ex-South Korea first lady,"Chicken and a special cocktail are being served, while Rupert Murdoch and Tim Cook are among the guests.",,
Sex abuse charges against top Australian radio host downgraded,US President Donald Trump and his wife Melania are in the UK for an unprecedented second state visit.,6 hrs ago,World
Watch: Pomp and protests on day one of Trump state visit,A coalition of more than 50 groups have organised a march in central London against the visit.,6 hrs ago,US & Canada
"Three officers killed in Pennsylvania shooting, with two others critical","The BBC spoke to fans who expressed surprise and disappointment after the late night show was taken off air ""indefinitely"" over Charlie Kirk comments.",,
"Melania’s hat, a yellow dress and Kate’s golden gown - standout state visit looks","Jensen Huang said the US needs ""to make sure that that people can access this technology from all over the world"".",7 hrs ago,US & Canada
"Vintage port, a menu in French and 1,452 pieces of cutlery - a glimpse of the state banquet",,5 hrs ago,Culture
What is the president’s schedule for day two of his visit?,President Claudia Sheinbaum and Prime Minister Mark Carney's meeting is meant to kickstart a new economic bilateral relationship.,6 hrs ago,Europe
Thousands protest against Trump's second UK state visit,"Borrowing costs are not guaranteed to come down much more than they already have, even after this week's rate cut.",1 hr ago,US & Canada
'Ultimate in cancel culture': Fans outside Jimmy Kimmel studio react to show's axing,,32 mins ago,US & Canada
Nvidia boss 'disappointed' by reported China chip ban,"The rapper is expecting her fourth child, her first with the New England Patriots wide receiver.",,Asia
,"The hit young-adult series will conclude with what author and showrunner Han says is ""another big milestone"" in Belly's journey.",11 hrs ago,Australia
Watch: Mexico and Canada are meeting without Trump - here's why,The country's farming and tourism sectors have been heavily affected by a spate of blazes.,18 hrs ago,Europe
Could the US interest rate cut boost the housing market?,Authorities say the cause and time of the 15-year-old girl's death are still unknown.,,Liverpool
,"The event comes as Meta faces ongoing scrutiny over the impact of its products, particularly on children.",23 mins ago,Football
Watch: Cardi B announces pregnancy with boyfriend Stefon Diggs,,9 hrs ago,
The Summer I Turned Pretty to conclude with feature film,Susan Monarez testified she had refused RFK Jr's demands to approve vaccine recommendations because they were not based on science.,11 hrs ago,Athletics
Spain counts the cost of 'nightmare' wildfire summer,"Demonstrators had burned tyres and set a government vehicle alight, while police responded with tear gas.",5 hrs ago,
Watch: Pomp and protests on day one of Trump state visit,,6 hrs ago,Cricket
'Ultimate in cancel culture': Fans outside Jimmy Kimmel studio react to show's axing,He faces 27 charges which allege that he indecently assaulted or groped nine men from 2001 to 2019.,,Tennis
Watch: Mexico and Canada are meeting without Trump - here's why,Police suspect some of the victims were accused of witchcraft by others on the boat that had travelled from Senegal.,13 hrs ago,Catagory is not given
Rise and fall of News of the World,Scientists say chimps consume the equivalent of a bottle of lager a day from dining on ripe fruit.,,Catagory is not given
Watch: Cardi B announces pregnancy with boyfriend Stefon Diggs,"Liverpool boss Arne Slot enjoys a dramatic birthday as record signing Alexander Isak samples Anfield's Champions League power, says chief football writer Phil McNulty.",12 hrs ago,Catagory is not given
Body found in car registered to D4vd identified as missing teen,"Atletico Madrid manager Diego Simeone admits ""regret"" at clashes with Liverpool supporters at the end of a dramatic Champions League opener, which saw the Argentine sent off in his side's 3-2 defeat.",6 hrs ago,Catagory is not given
Facebook owner unveils new range of AI-powered smart glasses,,Last update is no given,Catagory is not given
,"Jake Wightman makes his return to a global podium with world 1500m silver, ending Great Britain's wait for a medal in Tokyo.",Last update is no given,Catagory is not given
Former CDC head says she was fired for refusing Kennedy's vaccine changes,Holders Paris St-Germain make the perfect start to the defence of their Champions League title with an emphatic win against Atalanta.,Last update is no given,Catagory is not given
Timor-Leste scraps plan to buy MPs free cars after protests,,Last update is no given,Catagory is not given
,England striker Harry Kane exploits error-prone Chelsea to score twice in Bayern Munich's 3-1 Champions League win.,Last update is no given,Catagory is not given
Sex abuse charges against top Australian radio host downgraded,Phil Salt again leads the way for England as they beat Ireland by four wickets in the first match of a three-game T20 series in Dublin.,Last update is no given,Catagory is not given
Spain arrests 19 on suspicion of torture and murder after 50 disappear from migrant boat,Tennis legend Bjorn Borg speaks to BBC Breakfast about his prostate cancer diagnosis and his rivalry-turned-friendship with John McEnroe.,Last update is no given,Catagory is not given
"Chimps drinking a lager a day in ripe fruit, study finds",Summary is not given,Last update is no given,Catagory is not given
Jimmy Kimmel taken off air over Charlie Kirk comments,Summary is not given,Last update is no given,Catagory is not given
King and Trump hail UK-US special relationship in state banquet speech,Summary is not given,Last update is no given,Catagory is not given
"Melania’s hat, a yellow dress and Kate’s golden gown - standout state visit looks",Summary is not given,Last update is no given,Catagory is not given
Battling a rare brain-eating disease in an Indian state,Summary is not given,Last update is no given,Catagory is not given
Fury over corruption and 'nepo babies' as floods paralyse Philippines,Summary is not given,Last update is no given,Catagory is not given
Air India crash victims' families sue aerospace firms Boeing and Honeywell,Summary is not given,Last update is no given,Catagory is not given
Read the text messages between Charlie Kirk accused and roommate,Summary is not given,Last update is no given,Catagory is not given
"I have no relationship with Trump, Brazil's President Lula tells BBC",Summary is not given,Last update is no given,Catagory is not given
Facebook owner unveils new range of AI-powered smart glasses,Summary is not given,Last update is no given,Catagory is not given
Body found in car registered to D4vd identified as missing teen,Summary is not given,Last update is no given,Catagory is not given
Slot gets late birthday gift as Isak samples power of Anfield,Summary is not given,Last update is no given,Catagory is not given
Simeone 'regret' as 'insults' spark clash with Liverpool fans,Summary is not given,Last update is no given,Catagory is not given
,Summary is not given,Last update is no given,Catagory is not given
Silver feels like gold for Wightman after dramatic 1500m final,Summary is not given,Last update is no given,Catagory is not given
Holders PSG thump Atalanta to make perfect start,Summary is not given,Last update is no given,Catagory is not given
,Summary is not given,Last update is no given,Catagory is not given
Kane scores twice to ruin Chelsea's Champions League return,Summary is not given,Last update is no given,Catagory is not given
Salt leads England to first T20 win over Ireland,Summary is not given,Last update is no given,Catagory is not given
"'Day by day, year by year' - Borg on cancer diagnosis",Summary is not given,Last update is no given,Catagory is not given
